Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,waiting time,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method
2025-01-12,15:44:00,UBR100294,Cancelled by Driver,CUST1016,UberXL,,Melbourne,,4.9,0,,1,Wrong pickup location,0,,0.0,12.95,2.5,,Credit Card
2025-03-12,05:17:00,UBR100453,Completed,CUST1040,Uber Black,Los Angeles,Madrid,11.3,4.9,0,,0,,0,,79.67,22.87,3.7,1.3,PayPal
2025-01-13,11:35:00,UBR100638,Completed,CUST1004,Uber Comfort,Melbourne,Dubai,3.7,18.2,0,,0,,0,,124.67,32.51,3.1,3.6,UPI
2025-05-22,08:00:00,UBR100139,Cancelled by Driver,CUST1150,UberXL,Birmingham,Manchester,6.8,11.4,0,,1,Too far from pickup,0,,0.0,29.12,,,Cash
2025-01-20,11:30:00,UBR100804,Completed,CUST1077,Uber Green,Paris,Dubai,10.2,24.3,0,,0,,0,,56.68,25.32,2.9,1.3,PayPal
2025-05-27,18:10:00,UBR100394,Completed,CUST1135,UberXL,Sydney,Chicago,3.5,14.1,0,,0,,0,,43.22,14.65,1.2,1.3,Wallet
2025-01-29,23:07:00,UBR100513,Completed,CUST1129,Uber Comfort,Tokyo,Rome,2.7,12.0,0,,0,,0,,50.57,23.74,4.7,3.5,Credit Card
2025-06-23,04:08:00,UBR100584,Cancelled by Driver,CUST1245,Uber Comfort,Vancouver,New York,8.4,19.5,0,,1,Wrong pickup location,0,,0.0,3.76,4.3,,PayPal
2025-06-04,00:14:00,UBR100231,Completed,CUST1223,Uber Green,Phoenix,Berlin,17.1,24.2,0,,0,,0,,,5.74,3.5,4.7,PayPal
2025-03-10,17:16:00,UBR100210,Cancelled by Driver,CUST1174,Uber Green,Dubai,Singapore,16.7,3.4,0,,1,Personal emergency,0,,0.0,11.74,2.9,,Wallet
2025-06-24,23:28:00,UBR100811,Completed,CUST1089,UberX,Dubai,Houston,2.9,17.5,0,,0,,0,,84.2,28.91,2.3,4.1,Credit Card
2025-04-06,12:34:00,UBR100760,Completed,CUST1020,Uber Comfort,Sydney,Toronto,2.2,13.7,0,,0,,0,,59.14,14.69,3.8,3.1,Cash
2025-03-14,01:23:00,UBR100904,Completed,CUST1058,Uber Green,Paris,Rome,15.7,14.2,0,,0,,0,,74.39,23.82,2.7,,Debit Card
2025-06-15,10:10:00,UBR100319,Completed,CUST1236,UberX,New York,Madrid,6.6,7.6,0,,0,,0,,102.38,29.04,1.3,,PayPal
2025-03-12,07:01:00,UBR100534,Completed,CUST1223,Uber Black,Phoenix,Vancouver,17.9,8.9,0,,0,,0,,8.42,2.14,4.3,2.7,Cash
2025-02-12,04:44:00,UBR100031,Completed,CUST1140,Uber Comfort,Madrid,Phoenix,2.7,3.4,0,,0,,0,,90.74,28.93,1.4,3.7,Cash
2025-05-09,10:00:00,UBR100237,Completed,CUST1092,UberX,Berlin,Houston,11.8,5.0,0,,0,,0,,56.96,14.65,,,Debit Card
2025-06-01,15:46:00,UBR100113,Completed,CUST1095,UberX,Seoul,Phoenix,8.5,19.0,0,,0,,0,,55.82,13.74,2.9,4.5,Credit Card
2025-01-22,21:28:00,UBR100635,Completed,CUST1008,UberX,Madrid,Dubai,13.0,13.8,0,,0,,0,,65.24,26.02,2.5,1.9,Wallet
2025-06-10,17:03:00,UBR100826,Completed,CUST1232,Uber Comfort,Los Angeles,Paris,17.6,19.0,0,,0,,0,,19.54,6.42,3.6,,Wallet
2025-04-03,06:02:00,UBR100715,Cancelled by Customer,CUST1125,,London,Dubai,8.0,11.9,1,Found another ride,0,,0,,0.0,5.1,,,UPI
2025-06-16,00:24:00,UBR100784,Completed,CUST1037,Uber Green,Paris,Toronto,,9.3,0,,0,,0,,54.36,26.04,3.0,3.1,PayPal
2025-03-26,07:40:00,UBR100617,Completed,CUST1202,Uber Green,Rome,Houston,2.8,18.3,0,,0,,0,,28.76,7.78,3.1,2.2,PayPal
2025-05-29,21:11:00,UBR100423,Completed,CUST1069,Uber Green,Tokyo,Singapore,5.8,13.1,0,,0,,0,,41.09,12.17,2.9,4.1,UPI
